,작성일,작성자,내용
5267,2023-04-24,csw082216745,빌라왕 사태 유독 2030 노리는 전세 사기 이유는 콘텐츠뷰 . . 1
5266,2023-04-24,KBSnews,단독 경기 구리 전세사기 에 공인중개업자 3백여 명 연루 뉴스 . . . . 7659690
5265,2023-04-24,Ce79cK5kixstFw0,전세사기에 가담한 공인중개사들 돈을 벌기위해 사기라는 것을 알면서도 가담하였고 당신들 때문에 소중한 생명들이 떠나갔습니다. 처절히 참회하여야 할 것입니다. 돈 때문에 양심을 팔다니 개탕스럽습니다. 극단적 선택을 하게 된 피해자들의 명복을 빕니다. . .
5264,2023-04-24,84be44630834436,팩트체크 전세사기 피해금 지원 ... 원희룡 선 그은 까닭은 . 9 6
5263,2023-04-24,romromrom89,근데 코인주식로 빚난건 국가가 도와주는데 왜 전세사기는 안도와주는거임
5262,2023-04-24,pongpongliggtt,20대 때 겪었던 전세사기나 중등도 우울장애 임금 체불 성희롱 애인의 바람 극심한 가난 어린 여자라고 던지는 추파 뭐 이런건 더 이상 경험하고 싶지 않아
5261,2023-04-24,69260201,이번엔 구리서 전세사기 공인중개사 300명 거느린 악성 임대인 언론사 뷰 . . 20230424220610267
5349,2023-04-24,abiya1207,허탈한 전세사기 피해자의 한마디 근저당 12억 집주인은 되는데 난 왜 보증보험 안 되나 . 7 7
5350,2023-04-24,ycass54,이재명 대표님은 고생해봤잖아요... 범인들 좀 잡아주세요 전세사기 피해자 눈물의 호소 . 출처
5233,2023-04-24,cboaydogteer,전세 사기 거의 8 90 이상은 중개사가 개입이 될 수밖에 없는 구조라고 봐요. 적극적으로 기망하는 거죠. . 한동훈 씹쌔끼가 공인중개사 없애나여 . . 20230424211129534
5352,2023-04-24,deadomang,전세사기가 이러케 많이 터지면 은행들은 뒷처리를 어케 감당 하는거지 궁금하다
5444,2023-04-24,gimjieu74474368,야당의 대책없는 전세사기 대책 지식의 칼. . 3 5 31
5443,2023-04-24,CuteJeubnyang2,원희룡 국토부장관 민주당은 전세사기 특별법에 동참하라 . 2 1650407920977465345 1
5442,2023-04-24,TheAzure1848,어느 쪽의 편을 들지는 결국 정부의 정치적 판단이고 그렇기에 어느 정도는 주관적 판단일 수밖에 없는데 그래도 대통령실을 용산으로 이전하는 바보같은 짓만 안 했어도 전세사기 피해자들 구제할 돈 중 50퍼센트는 나오지 않았을까 하는 생각이 머릿속에서 떠나지 않는다.
5441,2023-04-24,natsutoyuuhi,코인충들은 되고 전세사기 피해자는 안된다
5440,2023-04-24,ShalomPatish,2 는 지금 살고 있는 집은 포기하되 자산관리공사 캠코 가 피해자들의 보증금을 되돌려줘야 한다. 문제는 전세사기 피해자들은 투자자인데 투자 책임은 어떻게 질 것이냐는 것이다. 피해자는 2 가 편리하지만 투자자의 모럴해저드가 발생한다. 계속
5439,2023-04-24,Munhwa_inet,동해서 1000억 번다 인천 건축왕 전세사기 피해자 회유 동해 인천 건축왕 전세 사기 . . . 2023042401070827045001
5438,2023-04-24,milky_heir,코인은 사기당한 지인이라도 있었나봄 전세사기는 없고
5437,2023-04-24,herbalhubherb,지 돈으로 꼬라박은 사행성 투기 코인도 해결해주자면서 전세 사기 피해금은 못해주겠다
5436,2023-04-24,hkchkc4161,사적 제재 우려 피해자가 많으면 사적이 아니라 공적인 것. 모지리 한국인들 많구나. 신상 까고 악질 임대 사기범과 그 추종자들은 살껍질을 전세사기에 성난 사람들 나쁜 집주인 신상공개까지 ... . 6
5435,2023-04-24,OhmyNews_TV,무용한 전세사기 상담센터에 피해자의 분노 심리상담센터냐 는 민간보험사보다 못해 . 4 출처
5434,2023-04-24,hkchkc4161,임대주 그것도 사기꾼 임대주 감싸는 전지전능 왕 전세사기에 성난 사람들 나쁜 집주인 신상공개까지 ... .
5433,2023-04-24,OhmyNews_TV,허탈한 전세사기 피해자의 한마디 근저당 12억 집주인은 되는데 난 왜 보증보험 안 되나 . 7 7 출처
5445,2023-04-24,kho6488,에이타임즈 모바일 사이트 전세사기 피해자 지원에 당의 모든 역량을 기울이겠습니다. . . . 47495
5432,2023-04-24,dongamedia,원희룡 전세사기 피해금 국가가 대납 선 넘으면 안돼 . . 20230424 118979848 2
5430,2023-04-24,everstudio_kr,. 갑자기 정부에서 전세사기에 대해 말이 많은 이유는 원화기축 다음 버블이 꺼져애하는데 그 전에 꺼져서 혼비백산한 건 아닐까 이게 일본과의 차이점이고 절상 혜택없이 부담만 떠안는 꼴인데 소설로 끝나길 비나이다. 라 멘 . 1650414410098421760 1
5429,2023-04-24,everstudio_kr,. 갑자기 정부에서 전세사기에 대해 말이 많은 이유는 원화기축 다음 버블이 꺼져야하는데 그 전에 꺼져서 혼비백산한 건 아닐까 이게 일본과의 차이점이고 절상 혜택없이 부담만 떠안는 꼴인데 경제 소설로 끝나길 비나이다. 라 멘 . 1650414531632578560 1
5428,2023-04-24,easrcom5,무용한 전세사기 상담센터에 피해자의 분노 심리상담센터냐 는 민간보험사보다 못해 . 4
5427,2023-04-24,ninano_keepon,아니 그럼...코인투자는 지가 한거라서 구제해준거 전세사기는 사기라 안되고 반대가 정상 아니냐
5426,2023-04-24,yiabb,서울시 전세사기 가담한 중개사 보조원 10명 입건 출처 채널 네이버 뉴스 .
5425,2023-04-24,bgkimin,사설 전세사기 특별법 실질적 피해자 구제책 되어야 언론사 뷰 . . 20230423192013228
5424,2023-04-24,naewaymedia,전세사기 특별법 및 피해구제 대책 관련 야4당 지도부 면담 . . . . 758381
5423,2023-04-24,molra82530071,2년 전 갭투자 열풍 하반기 전세사기 피해 더 쏟아진다 갭투기란게 결국 실거주 의무기간이 없기 때문에 가능한거 아닌가 사정이 저러함에도 실거주 의무기간을 축소 혹은 없애 서민 죽일려는 막산이 같은 윤뚱돼
5422,2023-04-24,dosijeongbinews,도시정비뉴스 서울시 전세사기 가담 중개행위자 입건 . . 3640
5421,2023-04-24,cheolsoo8,전세사기 주범은 공인중개사들 ... 건축왕 피해자의 토로 출처 한국일보 네이버 뉴스 . 0
5420,2023-04-24,TVChosunNews,금융감독원은 24일 인천 미추홀구 전세사기 피해와 관련해 경매기일이 도래한 38건 모두 일정을 연기했다고 밝혔다. . . 2023 04 24 2023042490151.
5419,2023-04-24,kbw1127,당정 전세사기 대책 특별법 추진 피해자에 우선매수권 연합뉴스 . . . 20230424001400641 님이 씀
5431,2023-04-24,everstudio_kr,. 갑자기 정부에서 전세사기에 대해 말이 많은 이유는 원화기축 다음 버블이 꺼져애하는데 그 전에 꺼져서 혼비백산한 건 아닐까 이게 일본과의 차이점이고 절상 혜택없이 부담만 떠안는 꼴인데 소설로 끝나길 비나이다. 라 멘 . 1650414300912304133 1
5418,2023-04-24,yiabb,전세사기 주범은 공인중개사 건축왕 피해자의 토로 출처 한국일보 네이버 뉴스 . 0
5446,2023-04-24,ohjunhobip,떼인 보증금 반환 이 포퓰리즘인가 정부여당이 어제 전세사기 피해자 대책을 발표했습니다. 그런데 정작 피해자들의 가장 절박한 요구가 빠졌습니다. 바로 떼인 보증금 반환 입니다.
5448,2023-04-24,yky101yy,정치권 전세 사기 손 놓고 있었다 보증금 알아서 해라 ...알맹이 빠진 특별법 한국 수출 금융위기 이후 최저...경기 침... . 8 출처
5474,2023-04-24,3658290,서울시 전세사기 가담 중개행위자 입건 . 1
5472,2023-04-24,jhpark13536185,문재인의 시계는 시한폭탄 . 삐그덕거려도 퇴임까지 버티다가 퇴임에 맟춰 폭탄이 터지는 거지요. 전세사기 코로나 질병 방역통제 반일숭중 마약범람 .... 그리고 임기말에 맞춰 잔뜩 심은 알박기들도 길게 갑니다.
5471,2023-04-24,emiyamulijjada,그러니까 사기 당한건 안됐지만 뭐 어쩌겠어요 같은 말이 나오는거지.. 부동산 시장 자체가 문제인데 국민의힘에서 말하는 전세사기 근절하겠습니다 를 단순히 엄정한 법치주의로 사기꾼을 조진다 진짜 조지는지도 모르겠지만 정도로만 생각하는것 아닌가 느낌이 있음...
5470,2023-04-24,BichonFrise11,단순 사기라기엔 내가 다니는 회사에서도 전세사기 안 당하는 법 가르치는 사람들과 갭투자 방법 가르쳐주는 사람들이 모두 있었을 정도로 만연한 거래였는데 너무 큰 일이 되어버림
5469,2023-04-24,emiyamulijjada,그러니까 사기 당한건 안됐지만 뭐 어쩌겠어요 같은 말이 나오는거지.. 국민의힘에서 일단 말은 전세사기 근절하겠습니다 라고 하는데 이 말이 사실 엄정한 법치주의로 사기꾼을 조지겠습니다 조지는지는 모르겠지만 정도로 생각하고 나온거 아닌가 하는 의심이 있음
5468,2023-04-24,phanconghoan,전세사기 공포에 새 세입자 못 구한 집주인은 발 동동 . . 68 1
5467,2023-04-24,thew_p78,이게 이렇게 무서움 한번 맛을 들이니까 사기펀드작살나도 은행이 매꿔주고 전세사기를 당해도 국가가 매꿔줘야하고 시장가격과 부도확률 모형을 따르지 않는것은 스스로 자유시장경제를 부정하고 자생력없는 경제로 가는 문통시절 꼭두각시 대통령을 조종하던 세력들이 원하는길
5466,2023-04-24,hypkhan42,기사중에 민주당과 정의당은 전세사기 피해자들이 전세금을 돌려받지 못할 경우 채권을 매입해 세입자에게 피해 금액을 먼저 보상한 뒤 경매 공매 매각 등을 통해 투입 자금을 회수하는 내용의 특별법을 추진 한다라고 한다 지옥으로 가는 길은 선의로 포장되어 있다. . . 2023 04 24 6 74
5465,2023-04-24,Nabom_News,전세사기 피해자 우선매수 취득세 감면 검토 최대 100 도 거론 종합 . . 0 3
5464,2023-04-24,zweigrosen,믿을 수 없다 전세사기 공범 된 공인중개사들 출처 경향신문 네이버 뉴스 . 6 국가공인폐쇄시장의 부패
5463,2023-04-24,yiyisrlryi,뉴스에 많이 나오는 전세사기 그들에게 사기죄를 적용할 수 있을까
5447,2023-04-24,35z7FbIr9nVrYk4,전세사기 피해자 주택 우선매수청구권 어떻게 활용하나 출처 한국일보 네이버 뉴스 . 5 국민들도 나도 해마다 공인중개사 문제 많다고 알렸다 니들이 말아먹은거야
5462,2023-04-24,ppyongnyot,당장 전세사기로 죽었고 죽어가는 청년들은 구제 못하면서 90년대생들에게 애 맞겨놨냐
5460,2023-04-24,towfox,원희룡 전세사기 피해금 국가가 떠안을 순 없어 윤석열 미국 가자 바로 말바꾸기....
5459,2023-04-24,leekwhyo,윤석열 대통령의 전세사기 관련 특명 . . . 34583
5458,2023-04-24,xntks025,짚고 갑시다 전세사기 와 보증사고 의 다른 점 언론사 뷰 . . 20230424160809606
5457,2023-04-24,TheMinjoo_Kr,델리민주 더불어민주당 피해자들을 우롱하지 마세요 전세사기 지금 가장 필요한 일은 피해에 대한 실질적 지원 방안입니다. 피해자를 우롱하는 그런 엉터리 대책 그만두고 선구제 원칙을 바탕으로 충분한 대책을 마련해야 합니다. 영상 보기 . . 7 5
5456,2023-04-24,35z7FbIr9nVrYk4,전세사기 피해자 주택 우선매수청구권 어떻게 활용하나 출처 한국일보 네이버 뉴스 . 5 이건 정치인 장관 니들 재산갖고 해줘야 맞는거야 분명이 나도 국민들도 공인중개사 문제 많다고 해마다 알렸다.방관한건 정치인 장관니들이야.니들 재산으로 해결해야되는게 맞아
5455,2023-04-24,mungtungmun,22 저속에 가짜 전세사기 피해자 있을듯. 선동 목적으로
5454,2023-04-24,naneunnabi22,전세사기 및 갭투자에 대한 비용은 언젠가 국가가 책임져야 할 부채였음. 그것을 폭탄 돌리기 식으로 서로 미루고 있었을 뿐.
5453,2023-04-24,etodaynews,오후 주요 뉴스 4월 24일 공무원 근로자의 날에도 일한다 . . . 2171129 원희룡 전세사기 국가가 직접 지원 못해 . . . 2243332 윤 5박 7일 국빈방미 출국 . . . 2243365 교사 선발규모 감축에 교원단체 반발 . . . 2243331 . 1650405920445460480 1
5452,2023-04-24,yong_yongbi,범죄자나 빡쎄게 처벌해라. 무슨 전세사기를 나라의 세금으로 보상해준다는 씹소리가 나오냐 10 20대나 존나 지원하라고 씨발 같은곳에 예산 퍼 주지말고 나라망해가는데 뭔 씨벌 젊은애들 챙길 돈으로 지랄같은곳에 돈을 쓰려고하는지 모르겠네
5451,2023-04-24,soon18642195,1117 코인 탕감해준적 없을텐데요 전세사기와 비슷하게 대응한걸로 기억합니다.
5450,2023-04-24,35z7FbIr9nVrYk4,전세사기 피해자 주택 우선매수청구권 어떻게 활용하나 출처 한국일보 네이버 뉴스 . 5 국민들도 나도 해마다 공인중개사 문제 많다고 알렸어 이건 정치인.장관 니들 재산갖고 해결해야 맞는거야
5449,2023-04-24,etodaynews,오후 주요 뉴스 4월 24일 공무원 근로자의 날에도 일한다 . . . 2171129 원희룡 전세사기 국가가 직접 지원 못해 . . . 2243332 윤 5박 7일 국빈방미 출국 . . . 2243365 교사 선발규모 감축에 교원단체 반발 . . . 2243331 . 1650406480779309057 1
5461,2023-04-24,esprine__,전세사기 뉴스보는데 댓글이 모두 피해자 지원은 말안되는소리고 사기꾼 엄벌하면 됩니다 같은 소리 하네 안당해본 사람들이 지껄이는거니 그런가
5417,2023-04-24,ppuhahaha,선 넘은 선례는 느그들 표밭에서 허벌나게 남겼는데 뭔 개소리여 걍 이번 전세사기 사건이 연쇄폭탄의 시작이라 감당 못하겠다고 솔직히 실토해라.
5473,2023-04-24,groundmass_,엄밀히는 전세 사기가 아니라 부동산 투자 실패 또는 파산이 더 맞다는 주장을 읽었다. 사기로 몰아가면 개인의 도덕적 문제로 치부해 버리게 되는 결과를 낳을 수 있다면서 말이다. 일리 있는 주장이라 동의하며 본 기억이 난다.
5415,2023-04-24,bgkimin,원희룡 전세사기 안타깝지만 보증금 책임 못져 임대 지원과 다르다 언론사 뷰 . . 20230424160134332
5381,2023-04-24,chiking77777,코인충은 되는데 전세사기 피해자는 안된다.. . 77777 1650438668824498177 1
5380,2023-04-24,soothewriter,이 타래를 꼼꼼히 살펴보니 아아 난 참 바보처럼 살았군요 트위터에서 배우기 전까지는 전세가 어떤 의미인지도 모르고 살아왔습니다. 현재 전세 살고 있고 계속되는 전세사기 뉴스들에 벌벌 떠는 중입니다.
5378,2023-04-24,jinse31,혈세 운운 에 울분 토한 전세사기 피해자들 또 죽어야 법 바뀌나 정부개입을 하면 안되는 것이다 민간에서 사기사건 일어나면 정부가 다 개입해야 되는 것인가
5376,2023-04-24,mypej1676,인천 미추홀구 전세사기 아파트피해자의 눈물 2676. . 31
5375,2023-04-24,xB2zoJeMAXRXhyV,그랬군요. 전세사기뿐만 아니라 분양사기도 나오는게 아닌지...
5374,2023-04-24,nislove01,4분 부터 보시면 이분들이 얼마나 억지를 쓰시는지 알 수 있다고 생각합니다. 전세사기 피해자들은 부실은행이나 부실기업과는 다릅니다. 부실은행 채권에는 정부가 세금을 투입할 수 있지만 개인이 사기당한 문제에 대해서 왜 세금으로 보전해줘야 합니까 솔직히 이분들은 제정신인 단계를 넘었다고
5373,2023-04-24,mypej1676,인천 미추홀구 전세사기 범인들 잡아서 공개처형 2676. . 31
5372,2023-04-24,michaelace0401,문재인정부 지지해서 전세사기 당한거 아닌가 해서 전혀 동정 안가네. . . 2023 04 24 6 74
5371,2023-04-24,JiSoulist,. . 2 원희룡 전세사기 피해금 국가 지원 없다
5370,2023-04-24,hikorea2012,원희룡 전세사기 국가가 다 못 떠안아 피해자들 실망 출처 긍정의힘 .. 블로그 . . . 2014 223083888830
5369,2023-04-24,todaki,전세사기가 안타까워도 국가보고 그걸 때우라는건 좀 아니지.
5368,2023-04-24,bgkimin,피해자들 대부분은 대출이자를 갚고 있는 상황 여기에 수십만 원의 월세까지 더해지면 더욱 힘들어질 수밖에 없다 고 말했다. 전세사기 피해자 긴급 거처 입주 외면 언론사 뷰 . . 20230424170901232
5367,2023-04-24,qpemfh_12,전세사기 피해자 긴급 거처 입주 외면 언론사 뷰 . . 20230424170901232
5366,2023-04-24,Ethnos0104,사설 전세사기 특별법 실질적 피해자 구제책 되어야 . . . 1089066.
5364,2023-04-24,gimjieu74474368,7600 당신들이 국정운영 잘했으면 정권교체 됐겠어요 전세사기 대책도없이 몇일만에 밀어부쳐놓고 국민에 사과부터 하시길.
5363,2023-04-24,onlymoon111,일본기업이 물어야할 배상금은 우리기업 돈으로 주려고했던 자들이 전세사기 피해에는 나몰라라 한다 일본 전범기업보다 못한 자국민
5362,2023-04-24,timetrver,지금 터지는 전세사기는 개인이 모든 대비책을 했더라도 국가에서 설계와 감독을 하지않아서 생긴 일인데 국가책임이지 왜 개인책임이지.
5361,2023-04-24,maldini3008,부자감세는 해줘도 왜구들 멍게는 사줘도 기득권 부동산건축업자들 미분양 아파트는 사줘도 농민들 양곡 매입은 거부하는 윤정권인데 돈없고 힘없는 약자들인 전세사기 피해자들을 위한 대책이 있겠나 돌대가리 원희룡 머리에서 대안이 나올리는 절대 없고....
5360,2023-04-24,bibalam,전세사기 는 문재인이 보내준 선물 자유논객연합 . . . 123 56804 물가는 상승하고 인플레이션이 나타난다. 기업이 할 일을 국가가 했기 때문에 경기는 풀이 죽어버린다. 지금의 경기침체는 문재인의 선물이다. 문재인을 대통령으로 뽑자 문재인은 대한민국에 이런 것들을 선물했다
5359,2023-04-24,powersystembt,전세사기 사업자선정에 송영길 더불어민주당 담당자개입 . . 8 9 8 . 1650450144419274752 1
5358,2023-04-24,entusojos__,원희룡 전세사기 안타깝지만 보증금 책임 못져 임대 지원과 다르다 출처 머니 네이버 뉴스 . 5 2 73
5357,2023-04-24,burg_fisher,전세사기는 사기범과 피해자가 법률상 원고와 피고인 민형사 사건이라서 사회적 재난이 될 수가 없다. 대통령 만나자고 할 시간에 그 범죄자와 가족 재산 압류하고 만나보고 그러겠다.
5356,2023-04-24,Jugyeongsul2,원희룡 장관말씀이 이해가 가는게 전세 사기도 많고 일반국민들이 어려운 국민도 많은데 다른 사기당한 사람도 많고 불나 집없는 사람도 많고 모두 도와주기 어려우니 어려운 국민만 우선 도와주는게 정도이겠지요. 2023.4.24.
5355,2023-04-24,zero_atoz,전세사기..한사람이 여러채를 가지고 있는데 국새청은 뭐하나 집 1채만 매매해도 자금내역 확인요청하는데.. 집이 여러채 있는데 뭘 하는거나
5354,2023-04-24,a01058117215,더불어민주당 전세사기 깡통전세 피해고충 온라인 접수센터 개소
5416,2023-04-24,TheKukminDaily,단독 양천 구로 관악 금천서도 전세사기 의심 수사 의뢰 . . . . 0018193080 61141111 1
5353,2023-04-24,abiya1207,진상 취급하지 마라... 혈세 표현도 그만 의원들 앞 울분 토해낸 전세사기 피해자 .
5382,2023-04-24,sson92166272,원희룡 전세사기 피해금 국가 지원 없다 . . 3
5383,2023-04-24,gimyeon28479207,전세사기는 뒤에는 좌파가 혜택을 받을 위험이 있다. 잘 살펴서 조치해야 한다 사기꾼이 혜택을 독식하는 꼴 갈 수도 있다. 태양열같이 해먹는 좌파들이다. 네이버 블로그 5958 트위터 페이스북 김영태 산문집 삼성 반대로 성공한 철학 경제 창 계속
5475,2023-04-24,volconey,사기당한것을 도둑 맞은 것을 국가가 모두 지원 한다는 것은 사실 말이 되지 않는다. 이번 일을 계기로 좀더 독해지시기를 원희룡 전세사기 피해금 국가가 지원 선 넘어선 안된다 . . 2023 04 24 6 74
5385,2023-04-24,haha2q,부패하고 무능한 선조와 작금의 돈봉투당 사회적재난의 전세사기및 우리는 소국 이라 중국몽에 대한 지난정귄에 대한 분석도 필요한시점
5413,2023-04-24,chahyeji3,전세사기로 극단선택까지 발생하니 정부가 취한 행동 . . . 2023042403290079282 606 9 54 2023042403290079282 220805 9 54 사건사고 12
5412,2023-04-24,darkhose22,경기도의회 더불어민주당 전세사기 피해자 지원에 당의 모든 역량 기울이겠다 . . . 407334
5411,2023-04-24,KIN_news_,뉴스 전세사기 피해자 만난 이재명 피해구제 정부가 상당부분 책임져야 . . . 2023042417061232827 179 6 09 2023042417061232827 210927 6 09 뉴스생활 뉴스 사건사고 스포츠 연예
5410,2023-04-24,siva0370,원희룡 전세사기 피해금 국가가 떠안을 순 없어 언론사 뷰 . . 20230424154147492 누가 국가가 떠안으래 국토부 장관이 각 구청에 해당 건물 빌라 신축사기 관련자들 인허가 명단 제출 해달라 하고 행안부에 해당 인사들 넘겨 체포 협조 요청하고 해서 잡아들여야지 공권력은 언제쓰냐 니들은
5409,2023-04-24,okgo04,코인 날려 먹어서 빚 생긴 건 구제해주지만 전세사기를 당한 건 안 된다는 정부
5408,2023-04-24,OhmyNews_TV,낙찰 받으면 뭐 하나 신용불량자 위기에 놓인 전세사기 피해자 . 959 출처
5407,2023-04-24,mbc8out,주거지원이 목적이지 너희 사적 거래에 개입할수없잖아 임차권 설정돼있음 된거 아닌가 소득 높아서 실거주 안 해서 전세사기 피해... . 9
5405,2023-04-24,theissue2023,야 전세사기 특별법 엉터리 대책 말고 제대로 된 대책을 가져와야.. .
5404,2023-04-24,kingsukryul,정치부기자 야 전세사기 특별법 엉터리 대책 말고 제대로 된 대책을 가져와야.. . 644648551737 0 79 37 6 2667396075
5403,2023-04-24,trendlive4u,실시간 트렌드 야 전세사기 특별법 엉터리 대책 말고 제대로 된 대책을 가져와야.. . 644648551737 0 79 37 6 2667396075
5402,2023-04-24,news0440,뉴스모음봇 야 전세사기 특별법 엉터리 대책 말고 제대로 된 대책을 가져와야.. . 644648551737 0 79 37 6 2670114230
5401,2023-04-24,bgkimin,전세사기 피해자 우선매수 취득세 경매수수료 감면 검토 종합2보 . . . 20230424046752001
5414,2023-04-24,stchasher,전세사기라고 하는 이유 알려줄까 . 1 7 5 2 5 2
5399,2023-04-24,c584637,원 장관은 인천시 부평구 전세사기 피해지원센터를 방문해 사기당한 피해 금액을 국가가 대납해 돌려주고 회수가 되든 말든 떠안으라고 하면 사기 피해를 국가가 메꿔주라는 것 이라며 사기 범죄에 대해 앞으로 국가가 떠안을 것이라는 선례를 남길 수는 없다 고 말했다. . . 20230424160134332
5386,2023-04-24,IbmanH,헬 퀸 아버님 부동산하시고 어머님 공인중개사신데 전세사기 당한 거 보고 진짜 집 구하기 존내 무서워짐
5387,2023-04-24,qwFge6Oit6eoAim,원희룡 장관 전세사기 정부가 직접 지원 못한다 . . . 54363
5400,2023-04-24,sulkxxng9,비트코인은 되고 전세사기는 왜 안됨
5390,2023-04-24,woom_ki,우선매수권 부여한다는데 전세사기 특별법 실효성 글쎄 전세사기 우선매수권 특별법 실효성 . . 1 8 3 3 2 8
5391,2023-04-24,Legion42256773,내가 보기엔 전세사기 피해자중 사기피해자로 특정될 분들은 극소수 일 것 사기범이 인정하지 않는 한 대부분 자기 의지로 부실계약을 스스로 한 것임
5392,2023-04-24,auj5252,09 20 88208678 2주간 전세사기 안 당하려고 캐힘들엇네요 이제 꽃필날만 남았스
5388,2023-04-24,jae_hyun123,원희룡 이새끼 눈도장 찍으러 간거지 해결하러간 새끼아니지 전세사기 피해자의 얘기도 들어주십시오 사회 네이트 뉴스 . 0 3
5394,2023-04-24,bamhane48537550,이재명 대표님은 들어주실 것 같아요 전세사기 이재명 . . 7
5395,2023-04-24,Legion42256773,전세사기를 국가가 다 보상하라는 것은 어불성설 다만 피해자 구제에 최선을 다해야 자기권리를 자신이 지키고 나머지를 사회가 돕는 것
5398,2023-04-24,_thecoldmoon,전세사기 기사랑 트윗 읽을 때마다 우울하다. 거기에 집주인이랑 민사소송하는 과정까지 보면 도대체 법은 정의도 뭣도 지키는 게 없다. 법이 최소한의 윤리라는데 그 바닥이 보이지 않는다. 선례 남기는 걸 두려워하는 검사정권 때문에 피해자들만 더 위축된다.
5397,2023-04-24,isisanews,미추홀구 전세사기 70 최우선변제 불가 ... 원희룡 부채 탕감 어려워 . . . 229294
5396,2023-04-24,ywooJ,나라에서 전세사기 도움 못줄거면 처벌 환수나 잘 하든가. 그런 책임은 하나도 안지면서 국민들은 사기 당하라고 불안해서 어디 들어가 살겠냐
5393,2023-04-24,app_remember,정부가 전세 사기 피해자 대책을 담은 특별법을 발의하기로 했습니다. 이 뉴스를 이해하려면 전세로 임차한 집이 경매로 넘어갈 때 낙찰 대금을 배분하는 구조 등 복잡한 법규를 알아야 합니다. 전세사기 전세사기특별법 리멤버나우 . . . 2023 04 24 27657
19599,2023-04-25,suwon10298881,전세사기 만든 민주당. 민주당사 팔아 보상하라. 저는 임차인입니다. 윤희숙의 예지력은 정확했다.. 레지스탕스 정광용 . . 0
19598,2023-04-25,yellowknife000,국민여러분 보셨죠 국민의힘 수준이 이렇습니다. 국민들은 전세사기 피해로 죽어나가고 있는 마당에 그걸 이렇게 이용해 먹네요. 한동훈이 피해구제 못하겠다고 하자마자 바로 민주당더러 당사 팔아서 보상하라고. 정부여당은 아무것도 안하겠다는 겁니다. 이래도 국민의힘 찍으시겠습니까 . 000 1650801600552894465 1
19597,2023-04-25,pencil_romance,전세사기 고구마답답하다...... 이렇게 큰 돈이 거래되면서 안정망하나 없다는게 ..
19595,2023-04-25,peach_you_1215,회사 사람 우리동네 산다고 했었는데 전세사기 피해자라니
19594,2023-04-25,Mohaniiiiii,마약은 눈에 미친듯 보이고 전세사기로 잃는 귀한목숨 하나하나는 안보이지 이태원참사때도 사람 목숨보다 마약타령했으니... 깜도 안되는게 장관자리라니... 국민으로써 수치스럽다.
19592,2023-04-25,dreamerRium,전세사기 피해자들이 민주당과 손잡는 거 보고 좀 할 말을 잃음. 가해자가 보듬는 척하는 것도 소름이고 피해자가 가해자 찾아가는 걸 보니 가스라이팅이란 단어가 생각나고.
19600,2023-04-25,Dangjinland,문재인놈이 떠든 지난 5년간의 성취 란 뭘까 마약확산 북핵개발 완성 지원 집값폭등과 전세사기로 부동산시장 혼란 검수완박 간첩양성 국론 극단적 분열 국가빚 폭증으로 미래세대 불안조성 결국 김정은과 낮은단계의 연방제를 성취할 단계 당장 문재인을 잡아들이고 패거리의 재산몰수하라
19591,2023-04-25,qwFge6Oit6eoAim,전세사기 우선 매수권 보장... 사각지대 어쩌나 . . . 54379
19588,2023-04-25,lbc2020,전세 사기가 전국적으로 확산되어있는 이유가 도대체 무엇일까 사기를 치고도 떳떳하게 큰소리치고 권력을 누리는 자들이 있기 때문이다.
19596,2023-04-25,shy_steady,전세사기가 계속 터져서 월세 선호도가 올라가니까 월세가 계속 오르고 있다는 소식... 힘들다 증말
19601,2023-04-25,XG9dr,200 오마이뉴스 이재명 댕표님은 고생해봤자나요 제발 범인좀 잡아주셔요 전세사기 사기당한전세권자 눈물의호소 잼 이태원참사 유가족들 해걸못함 모리배 지살궁리만챙기는 잼 절대안함 국민은 문재앙한테 쏙고 굥거니 한테쏙고 더불당 180석 쏙고 내각제완성 잼한테쏙고
19607,2023-04-25,soonhearim,전세사기 입건된 공인중개사만 400명 도대체 하는 일이 뭐야 . . 20230425180803977
19603,2023-04-25,ds5hsg,울산경찰청 전세사기 특별단속 결과 230명 검거 45명 구속 . . . 06 223084703673
19604,2023-04-25,newpck77,조규홍 복지장관 전세사기 관련 긴급복지지원 협의 중 전세보증금과 관련된 것이면 지역 건강보험료 면제 조치 추진중 사기피해자 심리지원 적극지원 긴급복지 지원 시 4인가구 기준 월 162만 원 지원. 77. . 1 0 7 9 99 8 3 5 7 80 9 5 4 80 0 84 84 8 82 8 0 4 80 0 8 8 4 8 89 3 5 7 80 7 80 9 90 98 91 9 98 4 91 0 84 84 8 3 4 6 9 8 88 3 4 80 0 8 90 9 2 83 9 4 9 4 7 80 97 1 4 0 95 3 4 97 98 3 8 9 4 0 9 1 0 9 98 6 94 7 84 4 91 82 8 0 94 95 4 9 90 8 6 7 80 9 90 0 81 7 9 7 80 9 90
19605,2023-04-25,Dangjinland,좌파적폐 척결 윤희숙 전세사기 재난 만든 임대차법 발의자 어딨나 정의로운 척 역겹다 . 6 . 1650798372058542080 1
